topic_id,name,,,,
1,General,,,,
1,Online Safety,,,,
1,Misc.,,,,
2,Helpful Apps,,,,
2,Helpful Websites,,,,
2,Misc.,,,,
3,Alabama,,,,
3,Alaska,,,,
3,Arizona,,,,
3,Arkansas,,,,
3,California,,,,
3,Colorado,,,,
3,Connecticut,,,,
3,Delaware,,,,
3,Florida,,,,
3,Georgia,,,,
3,Hawaii,,,,
3,Idaho,,,,
3,Illinois,,,,
3,Indiana,,,,
3,Iowa,,,,
3,Kansas,,,,
3,Kentucky,,,,
3,Louisiana,,,,
3,Maine,,,,
3,Maryland,,,,
3,Massachusetts,,,,
3,Michigan,,,,
3,Minnesota,,,,
3,Mississippi,,,,
3,Missouri,,,,
3,Montana,,,,
3,Nebraska,,,,
3,Nevada,,,,
3,New Hampshire,,,,
3,New Jersey,,,,
3,New Mexico,,,,
3,New York,,,,
3,North Carolina,,,,
3,North Dakota,,,,
3,Ohio,,,,
3,Oklahoma,,,,
3,Oregon,,,,
3,Pennsylvania,,,,
3,Rhode Island,,,,
3,South Carolina,,,,
3,South Dakota,,,,
3,Tennessee,,,,
3,Texas,,,,
3,Utah,,,,
3,Vermont,,,,
3,Virginia,,,,
3,Washington,,,,
3,West Virginia,,,,
3,Wisconsin,,,,
3,Wyoming,,,,
3,District of Columbia,,,,
3,American Samoa,,,,
3,Guam,,,,
3,Northern Mariana Islands,,,,
3,Puerto Rico,,,,
3,Virgin Islands,,,,
3,United States Minor Outlying Islands,,,,
3,Armed Forces Europe,,,,
3,Armed Forces Americas,,,,
3,Armed Forces Pacific,,,,
4,General,,,,
4,Misc.,,,,